,iso3,country,year,month,unrest_index
16,DZA,Algeria,2000,1,-0.22038341769978878
17,EGY,Egypt,2000,1,-0.32357185592344145
18,LBY,Libya,2000,1,-0.34015222879491686
19,SDN,Sudan,2000,1,-0.32571755123622065
46,DZA,Algeria,2000,2,-0.24769226713516002
47,EGY,Egypt,2000,2,-0.33800653348213766
48,MAR,Morocco,2000,2,-0.33859172311289565
49,SDN,Sudan,2000,2,-0.3040655348981763
50,TUN,Tunisia,2000,2,-0.3382015966923903
73,DZA,Algeria,2000,3,-0.2826085817703846
74,EGY,Egypt,2000,3,-0.3391769127436536
75,MAR,Morocco,2000,3,-0.3387867863231483
76,SDN,Sudan,2000,3,-0.15289154695237137
96,DZA,Algeria,2000,4,-0.31284337935954565
97,SDN,Sudan,2000,4,-0.2574454276477926
124,DZA,Algeria,2000,5,-0.31284337935954565
125,EGY,Egypt,2000,5,-0.33605590137961117
126,MAR,Morocco,2000,5,-0.34015222879491686
127,SDN,Sudan,2000,5,-0.29918895464186
152,DZA,Algeria,2000,6,-0.27968263361659484
153,EGY,Egypt,2000,6,-0.3343003324873373
154,MAR,Morocco,2000,6,-0.338396659902643
155,SDN,Sudan,2000,6,-0.19912152778224979
177,DZA,Algeria,2000,7,-0.2699294731039623
178,LBY,Libya,2000,7,-0.34015222879491686
179,MAR,Morocco,2000,7,-0.34112754484618013
180,SDN,Sudan,2000,7,-0.2396946755148013
201,DZA,Algeria,2000,8,-0.32259653987217823
202,SDN,Sudan,2000,8,-0.2699294731039623
228,DZA,Algeria,2000,9,-0.3196705917183884
229,LBY,Libya,2000,9,-0.3382015966923903
230,MAR,Morocco,2000,9,-0.3403472920051695
231,SDN,Sudan,2000,9,-0.2878752884472062
255,DZA,Algeria,2000,10,-0.30504085094943956
256,EGY,Egypt,2000,10,-0.3136236322005562
257,MAR,Morocco,2000,10,-0.3403472920051695
258,SDN,Sudan,2000,10,-0.2593960597503191
259,TUN,Tunisia,2000,10,-0.33956703916415887
286,DZA,Algeria,2000,11,-0.3264978040772312
287,EGY,Egypt,2000,11,-0.32162122382091496
288,MAR,Morocco,2000,11,-0.3403472920051695
289,SDN,Sudan,2000,11,-0.2915814894420066
322,DZA,Algeria,2000,12,-0.2416453076173278
323,EGY,Egypt,2000,12,-0.33527564853860053
324,MAR,Morocco,2000,12,-0.338396659902643
325,SDN,Sudan,2000,12,-0.2857295931344271
349,SDN,Sudan,2001,1,-0.24184037082758048
373,DZA,Algeria,2001,2,-0.29626300648807025
374,EGY,Egypt,2001,2,-0.3343003324873373
375,LBY,Libya,2001,2,-0.33859172311289565
376,MAR,Morocco,2001,2,-0.3403472920051695
377,SDN,Sudan,2001,2,-0.3253274248157153
378,TUN,Tunisia,2001,2,-0.34015222879491686
404,DZA,Algeria,2001,3,-0.12558269751700013
405,EGY,Egypt,2001,3,-0.34015222879491686
406,SDN,Sudan,2001,3,-0.3237669191336941
407,TUN,Tunisia,2001,3,-0.3391769127436536
434,DZA,Algeria,2001,4,-0.304260598108429
435,EGY,Egypt,2001,4,-0.3403472920051695
436,MAR,Morocco,2001,4,-0.34112754484618013
437,SDN,Sudan,2001,4,-0.26602820889890927
467,DZA,Algeria,2001,5,-0.28455921387291117
468,EGY,Egypt,2001,5,-0.3393719759539062
469,SDN,Sudan,2001,5,-0.19522026357719674
497,DZA,Algeria,2001,6,-0.25568985875551875
498,EGY,Egypt,2001,6,-0.33293489001556875
499,MAR,Morocco,2001,6,-0.34015222879491686
500,SDN,Sudan,2001,6,-0.2211636705407994
523,DZA,Algeria,2001,7,-0.3315694475438002
524,EGY,Egypt,2001,7,-0.33527564853860053
525,SDN,Sudan,2001,7,-0.27773200151406835
545,DZA,Algeria,2001,8,-0.3073816094724714
546,SDN,Sudan,2001,8,-0.26037137580158237
566,DZA,Algeria,2001,9,-0.3099174312057559
567,EGY,Egypt,2001,9,-0.3393719759539062
568,SDN,Sudan,2001,9,-0.2806579496678581
591,DZA,Algeria,2001,10,-0.2956778168573123
592,EGY,Egypt,2001,10,-0.33488552211809525
593,MAR,Morocco,2001,10,-0.3403472920051695
594,SDN,Sudan,2001,10,-0.204583297669324
620,DZA,Algeria,2001,11,-0.3372262806411271
621,MAR,Morocco,2001,11,-0.3376164070616324
622,SDN,Sudan,2001,11,-0.2888506044984695
646,DZA,Algeria,2001,12,-0.2631022607451195
647,SDN,Sudan,2001,12,-0.29528769043680697
671,DZA,Algeria,2002,1,-0.2642726400066354
672,EGY,Egypt,2002,1,-0.338396659902643
673,MAR,Morocco,2002,1,-0.34112754484618013
674,SDN,Sudan,2002,1,-0.2279908828996422
697,DZA,Algeria,2002,2,-0.28650984597543766
698,EGY,Egypt,2002,2,-0.3391769127436536
699,SDN,Sudan,2002,2,-0.3011395867443865
726,DZA,Algeria,2002,3,-0.27207516841674145
727,EGY,Egypt,2002,3,-0.3284484361797578
728,LBY,Libya,2002,3,-0.3403472920051695
729,MAR,Morocco,2002,3,-0.3393719759539062
730,SDN,Sudan,2002,3,-0.23111189426368464
752,DZA,Algeria,2002,4,-0.2794875704063422
753,EGY,Egypt,2002,4,-0.32259653987217823
754,LBY,Libya,2002,4,-0.3393719759539062
755,MAR,Morocco,2002,4,-0.3403472920051695
756,SDN,Sudan,2002,4,-0.2480823935556653
757,TUN,Tunisia,2002,4,-0.3343003324873373
777,DZA,Algeria,2002,5,-0.26232200790410887
778,EGY,Egypt,2002,5,-0.33956703916415887
779,MAR,Morocco,2002,5,-0.3403472920051695
780,SDN,Sudan,2002,5,-0.2143364581819566
800,DZA,Algeria,2002,6,-0.2593960597503191
801,EGY,Egypt,2002,6,-0.34112754484618013
802,MAR,Morocco,2002,6,-0.3403472920051695
803,SDN,Sudan,2002,6,-0.09924916413289218
822,DZA,Algeria,2002,7,-0.3001642706931233
823,EGY,Egypt,2002,7,-0.3403472920051695
824,SDN,Sudan,2002,7,-0.21531177423321984
846,DZA,Algeria,2002,8,-0.2718801052064888
847,EGY,Egypt,2002,8,-0.33527564853860053
848,LBY,Libya,2002,8,-0.34015222879491686
849,MAR,Morocco,2002,8,-0.33527564853860053
850,SDN,Sudan,2002,8,-0.26232200790410887
869,DZA,Algeria,2002,9,-0.23091683105343197
870,LBY,Libya,2002,9,-0.34015222879491686
871,SDN,Sudan,2002,9,-0.1700571094546047
894,DZA,Algeria,2002,10,-0.29470250080604904
895,MAR,Morocco,2002,10,-0.3403472920051695
896,SDN,Sudan,2002,10,-0.22623531400736835
915,DZA,Algeria,2002,11,-0.2923617422830172
916,EGY,Egypt,2002,11,-0.34015222879491686
917,MAR,Morocco,2002,11,-0.3403472920051695
918,SDN,Sudan,2002,11,-0.3064062934212081
940,DZA,Algeria,2002,12,-0.2722702316269941
941,EGY,Egypt,2002,12,-0.3403472920051695
942,MAR,Morocco,2002,12,-0.3403472920051695
943,SDN,Sudan,2002,12,-0.3118680633082824
944,TUN,Tunisia,2002,12,-0.3403472920051695
963,DZA,Algeria,2003,1,-0.25315403702223427
964,MAR,Morocco,2003,1,-0.33956703916415887
965,SDN,Sudan,2003,1,-0.26739365137067783
990,DZA,Algeria,2003,2,-0.27305048446800473
991,MAR,Morocco,2003,2,-0.3387867863231483
992,SDN,Sudan,2003,2,-0.3052359141596922
993,TUN,Tunisia,2003,2,-0.3403472920051695
1017,DZA,Algeria,2003,3,-0.28299870819088996
1018,EGY,Egypt,2003,3,-0.33956703916415887
1019,MAR,Morocco,2003,3,-0.33956703916415887
1020,SDN,Sudan,2003,3,-0.29840870180084944
1021,TUN,Tunisia,2003,3,-0.3403472920051695
1049,DZA,Algeria,2003,4,-0.28494934029341645
1050,EGY,Egypt,2003,4,-0.34112754484618013
1051,SDN,Sudan,2003,4,-0.29918895464186
1076,DZA,Algeria,2003,5,-0.2722702316269941
1077,MAR,Morocco,2003,5,-0.3382015966923903
1078,SDN,Sudan,2003,5,-0.2884604780779642
1103,DZA,Algeria,2003,6,-0.2533491002324869
1104,SDN,Sudan,2003,6,-0.32259653987217823
1131,DZA,Algeria,2003,7,-0.3149890746723248
1132,MAR,Morocco,2003,7,-0.34015222879491686
1133,SDN,Sudan,2003,7,-0.24359593971985433
1157,DZA,Algeria,2003,8,-0.3343003324873373
1158,EGY,Egypt,2003,8,-0.34112754484618013
1159,LBY,Libya,2003,8,-0.34015222879491686
1160,MAR,Morocco,2003,8,-0.34112754484618013
1161,SDN,Sudan,2003,8,-0.30309021884691306
1162,TUN,Tunisia,2003,8,-0.34015222879491686
1184,DZA,Algeria,2003,9,-0.2457416350326335
1185,EGY,Egypt,2003,9,-0.34112754484618013
1186,LBY,Libya,2003,9,-0.34015222879491686
1187,MAR,Morocco,2003,9,-0.3391769127436536
1188,SDN,Sudan,2003,9,-0.31479401146207214
1211,DZA,Algeria,2003,10,-0.2728554212577521
1212,SDN,Sudan,2003,10,-0.2896308573394801
1237,DZA,Algeria,2003,11,-0.33234970038481076
