,iso3,country,year,month,unrest_index
9337,DZA,Algeria,2000,1,3095
9612,EGY,Egypt,2000,1,450
9848,LBY,Libya,2000,1,25
10257,SDN,Sudan,2000,1,395
9338,DZA,Algeria,2000,2,2395
9613,EGY,Egypt,2000,2,80
10029,MAR,Morocco,2000,2,65
10258,SDN,Sudan,2000,2,950
10533,TUN,Tunisia,2000,2,75
9339,DZA,Algeria,2000,3,1500
9614,EGY,Egypt,2000,3,50
10030,MAR,Morocco,2000,3,60
10259,SDN,Sudan,2000,3,4825
9340,DZA,Algeria,2000,4,725
10260,SDN,Sudan,2000,4,2145
9341,DZA,Algeria,2000,5,725
9615,EGY,Egypt,2000,5,130
10031,MAR,Morocco,2000,5,25
10261,SDN,Sudan,2000,5,1075
9342,DZA,Algeria,2000,6,1575
9616,EGY,Egypt,2000,6,175
10032,MAR,Morocco,2000,6,70
10262,SDN,Sudan,2000,6,3640
9343,DZA,Algeria,2000,7,1825
9849,LBY,Libya,2000,7,25
10033,MAR,Morocco,2000,7,0
10263,SDN,Sudan,2000,7,2600
9344,DZA,Algeria,2000,8,475
10264,SDN,Sudan,2000,8,1825
9345,DZA,Algeria,2000,9,550
9850,LBY,Libya,2000,9,75
10034,MAR,Morocco,2000,9,20
10265,SDN,Sudan,2000,9,1365
9346,DZA,Algeria,2000,10,925
9617,EGY,Egypt,2000,10,705
10035,MAR,Morocco,2000,10,20
10266,SDN,Sudan,2000,10,2095
10534,TUN,Tunisia,2000,10,40
9347,DZA,Algeria,2000,11,375
9618,EGY,Egypt,2000,11,500
10036,MAR,Morocco,2000,11,20
10267,SDN,Sudan,2000,11,1270
9348,DZA,Algeria,2000,12,2550
9619,EGY,Egypt,2000,12,150
10037,MAR,Morocco,2000,12,70
10268,SDN,Sudan,2000,12,1420
10269,SDN,Sudan,2001,1,2545
9349,DZA,Algeria,2001,2,1150
9620,EGY,Egypt,2001,2,175
9851,LBY,Libya,2001,2,65
10038,MAR,Morocco,2001,2,20
10270,SDN,Sudan,2001,2,405
10535,TUN,Tunisia,2001,2,25
9350,DZA,Algeria,2001,3,5525
9621,EGY,Egypt,2001,3,25
10271,SDN,Sudan,2001,3,445
10536,TUN,Tunisia,2001,3,50
9351,DZA,Algeria,2001,4,945
9622,EGY,Egypt,2001,4,20
10039,MAR,Morocco,2001,4,0
10272,SDN,Sudan,2001,4,1925
9352,DZA,Algeria,2001,5,1450
9623,EGY,Egypt,2001,5,45
10273,SDN,Sudan,2001,5,3740
9353,DZA,Algeria,2001,6,2190
9624,EGY,Egypt,2001,6,210
10040,MAR,Morocco,2001,6,25
10274,SDN,Sudan,2001,6,3075
9354,DZA,Algeria,2001,7,245
9625,EGY,Egypt,2001,7,150
10275,SDN,Sudan,2001,7,1625
9355,DZA,Algeria,2001,8,865
10276,SDN,Sudan,2001,8,2070
9356,DZA,Algeria,2001,9,800
9626,EGY,Egypt,2001,9,45
10277,SDN,Sudan,2001,9,1550
9357,DZA,Algeria,2001,10,1165
9627,EGY,Egypt,2001,10,160
10041,MAR,Morocco,2001,10,20
10278,SDN,Sudan,2001,10,3500
9358,DZA,Algeria,2001,11,100
10042,MAR,Morocco,2001,11,90
10279,SDN,Sudan,2001,11,1340
9359,DZA,Algeria,2001,12,2000
10280,SDN,Sudan,2001,12,1175
9360,DZA,Algeria,2002,1,1970
9628,EGY,Egypt,2002,1,70
10043,MAR,Morocco,2002,1,0
10281,SDN,Sudan,2002,1,2900
9361,DZA,Algeria,2002,2,1400
9629,EGY,Egypt,2002,2,50
10282,SDN,Sudan,2002,2,1025
9362,DZA,Algeria,2002,3,1770
9630,EGY,Egypt,2002,3,325
9852,LBY,Libya,2002,3,20
10044,MAR,Morocco,2002,3,45
10283,SDN,Sudan,2002,3,2820
9363,DZA,Algeria,2002,4,1580
9631,EGY,Egypt,2002,4,475
9853,LBY,Libya,2002,4,45
10045,MAR,Morocco,2002,4,20
10284,SDN,Sudan,2002,4,2385
10537,TUN,Tunisia,2002,4,175
9364,DZA,Algeria,2002,5,2020
9632,EGY,Egypt,2002,5,40
10046,MAR,Morocco,2002,5,20
10285,SDN,Sudan,2002,5,3250
