,region,iso3,country,year,month,unrest_index
0,Eastern Africa,BDI,Burundi,2000,1,1000
1,Eastern Africa,ERI,Eritrea,2000,1,250
2,Eastern Africa,ETH,Ethiopia,2000,1,75
3,Eastern Africa,KEN,Kenya,2000,1,325
4,Eastern Africa,MOZ,Mozambique,2000,1,75
5,Eastern Africa,MWI,Malawi,2000,1,25
6,Eastern Africa,RWA,Rwanda,2000,1,325
7,Eastern Africa,SOM,Somalia,2000,1,425
8,Eastern Africa,TZA,Tanzania,2000,1,25
9,Eastern Africa,UGA,Uganda,2000,1,6525
10,Middle Africa,AGO,Angola,2000,1,3690
11,Middle Africa,CAF,Central African Republic,2000,1,20
12,Middle Africa,COD,Democratic Republic of Congo,2000,1,10390
13,Middle Africa,COG,Republic of Congo,2000,1,150
14,Middle Africa,GAB,Gabon,2000,1,40
15,Middle Africa,TCD,Chad,2000,1,150
16,Northern Africa,DZA,Algeria,2000,1,3095
17,Northern Africa,EGY,Egypt,2000,1,450
18,Northern Africa,LBY,Libya,2000,1,25
19,Northern Africa,SDN,Sudan,2000,1,395
20,Southern Africa,NAM,Namibia,2000,1,550
21,Southern Africa,ZAF,South Africa,2000,1,145
22,Southern Africa,ZMB,Zambia,2000,1,100
23,Southern Africa,ZWE,Zimbabwe,2000,1,70
24,Western Africa,BFA,Burkina Faso,2000,1,175
25,Western Africa,CIV,Ivory Coast,2000,1,25
26,Western Africa,GIN,Guinea,2000,1,645
27,Western Africa,GMB,Gambia,2000,1,150
28,Western Africa,GNB,Guinea-Bissau,2000,1,25
29,Western Africa,MLI,Mali,2000,1,25
30,Western Africa,NGA,Nigeria,2000,1,570
31,Western Africa,SLE,Sierra Leone,2000,1,775
32,Eastern Africa,BDI,Burundi,2000,2,7290
33,Eastern Africa,ERI,Eritrea,2000,2,150
34,Eastern Africa,ETH,Ethiopia,2000,2,175
35,Eastern Africa,KEN,Kenya,2000,2,1175
36,Eastern Africa,MDG,Madagascar,2000,2,50
37,Eastern Africa,MWI,Malawi,2000,2,25
38,Eastern Africa,RWA,Rwanda,2000,2,100
39,Eastern Africa,SOM,Somalia,2000,2,700
40,Eastern Africa,TZA,Tanzania,2000,2,25
41,Eastern Africa,UGA,Uganda,2000,2,1375
42,Middle Africa,AGO,Angola,2000,2,1465
43,Middle Africa,CAF,Central African Republic,2000,2,115
44,Middle Africa,COD,Democratic Republic of Congo,2000,2,725
45,Middle Africa,TCD,Chad,2000,2,300
46,Northern Africa,DZA,Algeria,2000,2,2395
