,index,Country Code,World Bank Code,Country,Year,Assassinations,General Strikes,Guerrilla Warfare,Government Crises,Purges,Riots,Revolutions,Anti-Government Demonstrations,Weighted Conflict Index,Type of Regime,Head of State,Effective Executive (Type),Effective Executive (Selection),Degree of Parliamentary Responsibility,Legislative Effectiveness
0,76,0010,AFG,Afghanistan,2000,0,0,1,0,0,0,1,0,-0.17685030154356093,2,4,5,3,0,0
1,77,0010,AFG,Afghanistan,2001,1,0,1,1,0,0,1,0,-0.1620802754881264,2,4,5,3,0,0
2,78,0010,AFG,Afghanistan,2002,3,0,2,0,1,0,1,1,-0.10951790518408883,2,4,5,3,0,0
3,79,0010,AFG,Afghanistan,2003,1,0,2,1,0,0,2,0,-0.07995157188806769,2,2,5,3,0,0
4,80,0010,AFG,Afghanistan,2004,3,0,2,0,0,1,2,1,-0.05858496835947642,2,2,2,1,0,1
5,81,0010,AFG,Afghanistan,2005,2,0,1,0,0,1,1,3,-0.1423693866241123,1,2,2,1,0,1
6,82,0010,AFG,Afghanistan,2006,2,0,1,0,0,1,1,0,-0.15222483105611934,1,2,2,1,0,1
7,83,0010,AFG,Afghanistan,2007,1,0,1,1,0,0,1,1,-0.15879512734412404,1,2,2,1,0,1
8,84,0010,AFG,Afghanistan,2008,1,0,1,0,0,0,1,1,-0.16536542363212872,1,2,2,1,0,1
9,85,0010,AFG,Afghanistan,2009,1,0,1,1,0,0,1,1,-0.15879512734412404,1,2,2,1,0,1
10,86,0010,AFG,Afghanistan,2010,1,0,1,1,0,0,1,0,-0.1620802754881264,1,2,2,1,0,1
11,87,0010,AFG,Afghanistan,2011,7,0,1,1,0,0,1,1,-0.1094916239989368,1,2,2,1,0,1
12,88,0010,AFG,Afghanistan,2012,6,1,5,0,0,2,0,1,-0.019163190631448244,1,2,2,1,0,1
13,89,0010,AFG,Afghanistan,2013,4,0,30,0,0,1,0,1,0.7709280785936924,1,2,2,1,0,1
14,90,0010,AFG,Afghanistan,2014,4,0,53,0,0,1,0,4,1.5363413149610874,1,2,2,1,0,1
15,91,0010,AFG,Afghanistan,2015,3,0,103,0,0,1,0,4,3.170715657194832,1,2,2,1,0,1
