,Country Code,World Bank Code,Country,Year,Assassinations,General Strikes,Guerrilla Warfare,Government Crises,Purges,Riots,Revolutions,Anti-Government Demonstrations,Weighted Conflict Index,Type of Regime,Head of State,Effective Executive (Type),Effective Executive (Selection),Degree of Parliamentary Responsibility,Legislative Effectiveness
76,0010,AFG,Afghanistan,2000,0,0,1,0,0,0,1,0,3125,2,4,5,3,0,0
77,0010,AFG,Afghanistan,2001,1,0,1,1,0,0,1,0,3687,2,4,5,3,0,0
78,0010,AFG,Afghanistan,2002,3,0,2,0,1,0,1,1,5687,2,4,5,3,0,0
79,0010,AFG,Afghanistan,2003,1,0,2,1,0,0,2,0,6812,2,2,5,3,0,0
80,0010,AFG,Afghanistan,2004,3,0,2,0,0,1,2,1,7625,2,2,2,1,0,1
81,0010,AFG,Afghanistan,2005,2,0,1,0,0,1,1,3,4437,1,2,2,1,0,1
82,0010,AFG,Afghanistan,2006,2,0,1,0,0,1,1,0,4062,1,2,2,1,0,1
83,0010,AFG,Afghanistan,2007,1,0,1,1,0,0,1,1,3812,1,2,2,1,0,1
84,0010,AFG,Afghanistan,2008,1,0,1,0,0,0,1,1,3562,1,2,2,1,0,1
85,0010,AFG,Afghanistan,2009,1,0,1,1,0,0,1,1,3812,1,2,2,1,0,1
86,0010,AFG,Afghanistan,2010,1,0,1,1,0,0,1,0,3687,1,2,2,1,0,1
87,0010,AFG,Afghanistan,2011,7,0,1,1,0,0,1,1,5688,1,2,2,1,0,1
88,0010,AFG,Afghanistan,2012,6,1,5,0,0,2,0,1,9125,1,2,2,1,0,1
89,0010,AFG,Afghanistan,2013,4,0,30,0,0,1,0,1,39188,1,2,2,1,0,1
90,0010,AFG,Afghanistan,2014,4,0,53,0,0,1,0,4,68312,1,2,2,1,0,1
91,0010,AFG,Afghanistan,2015,3,0,103,0,0,1,0,4,130500,1,2,2,1,0,1
92,0010,AFG,Afghanistan,2016,2,0,95,1,0,0,0,3,120000,1,2,2,1,0,1
93,0010,AFG,Afghanistan,2017,1,0,149,0,0,1,0,4,187375,1,2,2,1,0,1
94,0010,AFG,Afghanistan,2018,2,0,214,0,0,2,0,3,269125,1,2,2,1,0,1
95,0010,AFG,Afghanistan,2019,1,0,246,0,0,2,0,3,308812,1,2,2,1,0,1
96,0010,AFG,Afghanistan,2020,3,0,1365,0,0,1,0,3,1707875,,,,,,
97,0010,AFG,Afghanistan,2021,1,0,284,0,0,6,0,7,358062,,,,,,
233,0030,DZA,Algeria,2000,0,0,0,0,0,0,1,0,1875,,2,2,1,2,2
234,0030,DZA,Algeria,2001,0,0,0,0,0,2,1,2,2750,,2,2,1,2,2
235,0030,DZA,Algeria,2002,0,0,1,0,0,0,1,2,3375,,2,2,1,2,2
236,0030,DZA,Algeria,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2
237,0030,DZA,Algeria,2004,0,0,0,0,0,0,1,0,1875,1,2,2,1,2,2
238,0030,DZA,Algeria,2005,0,0,0,0,0,0,1,0,1875,1,2,2,1,2,2
239,0030,DZA,Algeria,2006,0,0,0,0,0,0,1,0,1875,1,2,2,1,2,2
240,0030,DZA,Algeria,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
241,0030,DZA,Algeria,2008,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
242,0030,DZA,Algeria,2009,0,0,1,0,0,0,0,0,1250,1,2,2,1,1,1
243,0030,DZA,Algeria,2010,1,0,1,0,0,0,0,0,1562,1,2,2,1,1,1
244,0030,DZA,Algeria,2011,0,0,0,0,0,1,0,3,688,1,2,2,1,1,1
245,0030,DZA,Algeria,2012,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
246,0030,DZA,Algeria,2013,0,0,1,0,0,0,0,3,1625,1,2,2,1,1,1
247,0030,DZA,Algeria,2014,0,0,2,0,0,4,0,3,4125,1,2,2,1,1,1
248,0030,DZA,Algeria,2015,0,1,2,0,0,1,0,4,3562,1,2,2,1,1,1
249,0030,DZA,Algeria,2016,0,0,2,0,0,1,0,0,2812,1,2,2,1,1,1
250,0030,DZA,Algeria,2017,0,0,4,0,0,1,0,2,5562,1,2,2,1,1,1
251,0030,DZA,Algeria,2018,0,3,4,0,0,2,0,4,6875,1,2,2,1,1,1
252,0030,DZA,Algeria,2019,0,7,0,1,0,8,0,65,12625,1,2,2,1,1,1
253,0030,DZA,Algeria,2020,0,1,1,0,0,3,0,18,4688,,,,,,
254,0030,DZA,Algeria,2021,0,0,1,0,1,8,0,18,6250,,,,,,
594,0045,ARM,Armenia,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
595,0045,ARM,Armenia,2001,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
596,0045,ARM,Armenia,2002,1,0,0,0,0,0,0,1,437,1,2,2,1,1,1
597,0045,ARM,Armenia,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
598,0045,ARM,Armenia,2004,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
599,0045,ARM,Armenia,2005,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
600,0045,ARM,Armenia,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
601,0045,ARM,Armenia,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
602,0045,ARM,Armenia,2008,0,0,0,1,0,0,0,0,250,1,2,2,1,1,1
603,0045,ARM,Armenia,2009,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
604,0045,ARM,Armenia,2010,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
605,0045,ARM,Armenia,2011,0,0,0,0,0,0,0,1,125,1,2,2,1,1,1
606,0045,ARM,Armenia,2012,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
607,0045,ARM,Armenia,2013,1,0,0,0,0,0,0,0,312,1,2,2,1,1,1
608,0045,ARM,Armenia,2014,0,0,0,0,0,1,0,1,438,1,2,2,1,1,1
609,0045,ARM,Armenia,2015,0,0,0,0,0,0,0,2,250,1,2,2,1,1,1
610,0045,ARM,Armenia,2016,0,0,1,1,1,1,0,1,2188,1,2,3,2,2,2
611,0045,ARM,Armenia,2017,0,0,0,0,0,0,0,2,250,1,2,3,2,2,2
612,0045,ARM,Armenia,2018,0,1,0,1,1,1,0,5,1688,1,2,3,2,2,2
613,0045,ARM,Armenia,2019,0,0,0,0,0,2,0,2,875,1,2,3,2,2,2
614,0045,ARM,Armenia,2020,0,1,0,0,2,7,0,12,4438,,,,,,
615,0045,ARM,Armenia,2021,0,0,0,0,0,3,0,11,2312,,,,,,
1071,0064,AZE,Azerbaijan,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
