,Unnamed: 0_x,code,protest,revolution,riots,strike,unrest,violence,date,geo_x,country_x,country_code,Unnamed: 0_y,Country,Time,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PP.GD.KD,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY,EN.URB.MCTY.TL.ZS,FR.INR.LNDP,FR.INR.RINR,FX.OWN.TOTL.40.ZS,GC.DOD.TOTL.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.INTP.RV.ZS,MS.MIL.XPND.GD.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,PA.NUS.FCRF,PA.NUS.PPPC.RF,PX.REX.REER,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SE.ENR.PRSC.FM.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SH.H2O.BASW.ZS,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.MED.PHYS.ZS,SH.STA.BASS.ZS,SH.XPD.CHEX.PP.CD,SI.DST.10TH.10,SI.DST.FRST.10,SI.POV.GINI,SI.POV.LMIC.GP,SI.POV.MDIM,SI.POV.MDIM.IT,SI.POV.MDIM.XQ,SL.UEM.1524.FE.ZS,SL.UEM.1524.MA.ZS,SL.UEM.INTM.ZS,SL.UEM.TOTL.ZS,SL.WAG.0714.ZS,SM.POP.TOTL.ZS,SN.ITK.MSFI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,geo_y,economy,Unnamed: 0,iso3,country_y,year,month,unrest_index
0,4176,2016-01-01/BH,1.0,11.0,7.0,10.0,0.0,0.0,2016-01-01,BH,Bahrain,BHR,2840,Bahrain,2016-01-01,0.4880085917834149,2.0170920146525755,100.0,100.0,0.4661844480716305,1729.8825730169392,,426418.3333333333,,4.467152777777775,12.461723523146068,81.03,29.3985591955441,4.21684066611925,3.43357271095153,4.543590738480353,-6.095042785659829,30736883823.3678,22925.6604138792,0.376,0.4934527257338475,102.90343520076476,1.0,100.0,92.3000030517578,1.005071669816969,10.8434200286865,8.81070041656494,9.47933006286621,100.0,1.9833333333333332,,2.493525,0.9388666666666668,100.0,2264.170735678333,,,,,,,,12.674000342686975,2.753083388010662,1.53999996185303,1.1915833552678423,,51.55570592837688,,80.82875,78.28283333333333,88.964,9995833.333333334,,BH,BHR,888,BHR,Bahrain,2016,1,0.422272227598786
1,4177,2016-02-01/BH,0.0,18.0,3.0,13.0,0.0,8.0,2016-02-01,BH,Bahrain,BHR,2841,Bahrain,2016-02-01,-0.09403452832535,1.6554721837183874,100.0,100.0,0.465613024404716,1734.0710969739637,,429321.6666666667,,4.40722222222222,13.146637108576911,81.03,29.3985591955441,4.21684066611925,3.43357271095153,4.561448063876937,-6.727065611574023,30799634718.268696,22899.618102635603,0.376,0.4940872338223956,103.4727858582322,1.0,100.0,92.3000030517578,1.0044833421707131,10.8434200286865,8.81070041656494,9.47933006286621,100.0,1.9766666666666663,,2.4937,0.9362333333333334,100.0,2265.908365886667,,,,,,,,12.6620003382365,2.7536667188008632,1.53999996185303,1.19266668955485,,51.4699217437115,,80.831,78.29466666666667,88.971,9930666.666666666,,BH,BHR,902,BHR,Bahrain,2016,2,0.5782598967626974
2,4178,2016-03-01/BH,2.0,11.0,7.0,9.0,0.0,9.0,2016-03-01,BH,Bahrain,BHR,2842,Bahrain,2016-03-01,-0.676077648434115,1.2938523527841996,100.0,100.0,0.4650416007378015,1738.2596209309877,,432225.0,,4.347291666666665,13.83155069400776,81.03,29.39855919554409,4.21684066611925,3.43357271095153,4.579305389273521,-7.359088437488218,30862385613.1696,22873.575791392,0.3759999999999999,0.4947217419109437,104.04213651569964,1.0,100.0,92.3000030517578,1.0038950145244576,10.8434200286865,8.81070041656494,9.47933006286621,100.0,1.97,,2.493875,0.9336,100.0,2267.645996095,,,,,,,,12.650000333786023,2.754250049591065,1.5399999618530298,1.1937500238418577,,51.38413755904613,,80.83325,78.3065,88.978,9865500.0,,BH,BHR,917,BHR,Bahrain,2016,3,0.1286189230922568
3,4179,2016-04-01/BH,2.0,16.0,0.0,16.0,0.0,8.0,2016-04-01,BH,Bahrain,BHR,2843,Bahrain,2016-04-01,-1.25812076854288,0.9322325218500116,100.0,100.0,0.464470177070887,1742.4481448880117,,435128.3333333333,,4.28736111111111,14.516464279438608,81.02999999999999,29.3985591955441,4.21684066611925,3.43357271095153,4.597162714670103,-7.991111263402413,30925136508.0705,22847.5334801484,0.376,0.4953562499994918,104.6114871731671,1.0,100.0,92.3000030517578,1.0033066868782017,10.8434200286865,8.81070041656494,9.47933006286621,100.0,1.9633333333333327,,2.49405,0.9309666666666666,100.0,2269.383626303333,,,,,,,,12.638000329335547,2.754833380381266,1.53999996185303,1.194833358128865,,51.29835337438075,,80.83550000000001,78.31833333333334,88.985,9800333.333333334,,BH,BHR,932,BHR,Bahrain,2016,4,0.2870285688370325
4,4180,2016-05-01/BH,0.0,16.0,6.0,12.0,0.0,3.0,2016-05-01,BH,Bahrain,BHR,2844,Bahrain,2016-05-01,-1.840163888651645,0.5706126909158239,100.0,100.0,0.4638987534039724,1746.636668845036,,438031.6666666667,,4.227430555555555,15.201377864869452,81.03,29.39855919554409,4.21684066611925,3.43357271095153,4.615020040066686,-8.623134089316606,30987887402.971397,22821.4911689048,0.3759999999999999,0.4959907580880398,105.18083783063452,1.0,100.0,92.3000030517578,1.002718359231946,10.8434200286865,8.81070041656494,9.47933006286621,100.0,1.9566666666666668,,2.4942250000000006,0.9283333333333332,100.0,2271.121256511667,,,,,,,,12.626000324885077,2.755416711171468,1.53999996185303,1.1959166924158726,,51.212569189715374,,80.83775000000001,78.33016666666667,88.992,9735166.666666666,,BH,BHR,945,BHR,Bahrain,2016,5,0.1012378061211261
5,4181,2016-06-01/BH,0.0,18.0,0.0,12.0,0.0,9.0,2016-06-01,BH,Bahrain,BHR,2845,Bahrain,2016-06-01,-2.42220700876041,0.208992859981636,100.0,100.0,0.4633273297370579,1750.82519280206,,440935.0,,4.1675,15.886291450300298,81.03,29.3985591955441,4.21684066611925,3.43357271095153,4.63287736546327,-9.2551569152308,31050638297.8723,22795.4488576612,0.3759999999999999,0.496625266176588,105.750188488102,1.0,100.0,92.3000030517578,1.00213003158569,10.8434200286865,8.81070041656494,9.47933006286621,100.0,1.95,,2.4944,0.9257,100.0,2272.85888672,,,,,,,,12.6140003204346,2.75600004196167,1.53999996185303,1.19700002670288,,51.12678500505,,80.83999999999999,78.342,88.99899999999998,9670000.0,4741000.0,BH,BHR,959,BHR,Bahrain,2016,6,0.6152954130973243
6,4182,2016-07-01/BH,0.0,14.0,3.0,11.0,0.0,4.0,2016-07-01,BH,Bahrain,BHR,2846,Bahrain,2016-07-01,-2.606277623342296,0.2544875128417815,100.0,100.0,0.4616593325725196,1755.721232041169,,444092.0,,4.1675,15.8862914503003,81.03,29.3985591955441,4.21684066611925,3.43357271095153,4.6360909906145205,-8.4632872777682,31142706755.57219,22796.7260298638,0.376,0.4973233882205698,106.01846723331624,1.0,100.0,92.3000030517578,1.0031975309054024,11.457541624704977,9.104032913843788,9.879552523295084,100.0,1.945,,2.4944,0.9257,100.0,2264.7869059258333,,,,,,,,12.624750296274849,2.763416707515717,1.5399999618530298,1.1956666906674691,,51.12678500505,,80.85608333333333,78.35199999999999,89.00658333333332,9710666.666666666,4620333.333333333,BH,BHR,973,BHR,Bahrain,2016,7,0.1557824722896428
7,4183,2016-08-01/BH,2.0,15.0,0.0,6.0,0.0,0.0,2016-08-01,BH,Bahrain,BHR,2847,Bahrain,2016-08-01,-2.790348237924181,0.299982165701927,100.0,100.0,0.4599913354079813,1760.617271280278,,447249.0,,4.1675,15.8862914503003,81.02999999999999,29.3985591955441,4.21684066611925,3.43357271095153,4.63930461576577,-7.671417640305598,31234775213.27208,22798.0032020664,0.3759999999999999,0.4980215102645516,106.2867459785305,1.0,100.0,92.3000030517578,1.004265030225115,12.071663220723453,9.397365411122632,10.27977498372396,100.0,1.94,,2.4944,0.9257,100.0,2256.714925131667,,,,,,,,12.6355002721151,2.770833373069763,1.53999996185303,1.1943333546320585,,51.12678500505,,80.87216666666667,78.362,89.01416666666665,9751333.333333334,4499666.666666667,BH,BHR,988,BHR,Bahrain,2016,8,0.1328227168475795
8,4184,2016-09-01/BH,1.0,20.0,3.0,13.0,0.0,0.0,2016-09-01,BH,Bahrain,BHR,2848,Bahrain,2016-09-01,-2.9744188525060675,0.3454768185620725,100.0,100.0,0.458323338243443,1765.5133105193877,,450406.0,,4.1675,15.886291450300298,81.03,29.3985591955441,4.21684066611925,3.43357271095153,4.64251824091702,-6.879548002842996,31326843670.971973,22799.280374269,0.376,0.4987196323085335,106.55502472374476,1.0,100.0,92.3000030517578,1.0053325295448274,12.685784816741927,9.69069790840148,10.679997444152832,100.0,1.935,,2.4944,0.9257,100.0,2248.6429443375,,,,,,,,12.64625024795535,2.77825003862381,1.53999996185303,1.1930000185966474,,51.12678500505,,80.88825,78.372,89.02175,9792000.0,4379000.0,BH,BHR,1001,BHR,Bahrain,2016,9,0.0832919907778822
9,4185,2016-10-01/BH,1.0,15.0,0.0,22.0,0.0,11.0,2016-10-01,BH,Bahrain,BHR,2849,Bahrain,2016-10-01,-3.158489467087953,0.390971471422218,100.0,100.0,0.4566553410789046,1770.409349758497,,453563.0,,4.1675,15.8862914503003,81.03,29.39855919554409,4.21684066611925,3.43357271095153,4.64573186606827,-6.087678365380395,31418912128.671864,22800.557546471595,0.376,0.4994177543525153,106.823303468959,1.0,100.0,92.3000030517578,1.00640002886454,13.299906412760402,9.984030405680327,11.080219904581703,100.0,1.93,,2.4944,0.9257,100.0,2240.5709635433336,,,,,,,,12.6570002237956,2.7856667041778564,1.53999996185303,1.1916666825612368,,51.12678500505,,80.90433333333333,78.382,89.02933333333333,9832666.666666666,4258333.333333333,BH,BHR,1015,BHR,Bahrain,2016,10,0.1404232593148328
