,index,Year,Date,World Bank Code,RSUI
0,0,2000,2000-01-01,AFG,-0.41605957404150884
1,1,2000,2000-02-01,AFG,-0.3766247089743959
2,2,2000,2000-03-01,AFG,-0.41622590313627955
3,3,2000,2000-04-01,AFG,-0.416116125836856
4,4,2000,2000-05-01,AFG,-0.4360077129117912
5,5,2000,2000-06-01,AFG,-0.3159185234492936
6,6,2000,2000-07-01,AFG,-0.4360077129117912
7,7,2000,2000-08-01,AFG,-0.4360077129117912
8,8,2000,2000-09-01,AFG,-0.4157474015024735
9,9,2000,2000-10-01,AFG,-0.41567371630116573
10,10,2000,2000-11-01,AFG,-0.3953520805924712
11,11,2000,2000-12-01,AFG,-0.33344685737828555
12,12,2001,2001-01-01,AFG,-0.35412528689528044
13,13,2001,2001-02-01,AFG,-0.33323019215932814
14,14,2001,2001-03-01,AFG,-0.23210430212354255
15,15,2001,2001-04-01,AFG,-0.33480123825760366
16,16,2001,2001-05-01,AFG,-0.41577819802601695
17,17,2001,2001-06-01,AFG,-0.39565266987706244
18,18,2001,2001-07-01,AFG,-0.3958852682008022
19,19,2001,2001-08-01,AFG,-0.3959511247311411
20,20,2001,2001-09-01,AFG,-0.17715980591656164
21,21,2001,2001-10-01,AFG,0.8326358124132032
22,22,2001,2001-11-01,AFG,0.08094000263220483
23,23,2001,2001-12-01,AFG,0.06119211330741513
24,24,2002,2002-01-01,AFG,-0.21680743191645888
25,25,2002,2002-02-01,AFG,-0.19681247211295366
26,26,2002,2002-03-01,AFG,-0.3553142678430353
27,27,2002,2002-04-01,AFG,-0.2543128747936577
28,28,2002,2002-05-01,AFG,-0.33448776222944543
29,29,2002,2002-06-01,AFG,-0.19173652525652624
30,30,2002,2002-07-01,AFG,-0.19076426307749098
31,31,2002,2002-08-01,AFG,-0.29264848107860375
32,32,2002,2002-09-01,AFG,-0.3333352473403166
33,33,2002,2002-10-01,AFG,-0.20963824289126293
34,34,2002,2002-11-01,AFG,-0.004486506181267059
35,35,2002,2002-12-01,AFG,-0.29179938793468696
36,36,2003,2003-01-01,AFG,-0.3126209236561342
37,37,2003,2003-02-01,AFG,-0.37431623921665275
38,38,2003,2003-03-01,AFG,-0.29298609954540855
39,39,2003,2003-04-01,AFG,-0.1284039645620232
40,40,2003,2003-05-01,AFG,-0.026181153082296404
41,41,2003,2003-06-01,AFG,-0.23085732931137432
42,42,2003,2003-07-01,AFG,0.015977744919753786
43,43,2003,2003-08-01,AFG,-0.3742462882392321
44,44,2003,2003-09-01,AFG,-0.39475224989953706
45,45,2003,2003-10-01,AFG,-0.3944522673951535
46,46,2003,2003-11-01,AFG,-0.37307987725807273
47,47,2003,2003-12-01,AFG,-0.39376417311613865
48,48,2004,2004-01-01,AFG,-0.4146775392770643
49,49,2004,2004-02-01,AFG,-0.41458265316263215
