economy,YR2010,YR2012,YR2014,YR2016,YR2018
AGO,23364185.0,25188292.0,27128337.0,29154746.0,31273533.0
BDI,9126605.0,9795479.0,10494913.0,10903327.0,11493472.0
BEN,9445710.0,10014078.0,10614844.0,11260085.0,11940683.0
BFA,16116845.0,17113732.0,18169842.0,19275498.0,20392723.0
BWA,2091664.0,2175425.0,2260376.0,2352416.0,2451409.0
CAF,4660067.0,4773306.0,4798734.0,4904177.0,5094780.0
CIV,21120042.0,22010712.0,22995555.0,24213622.0,25493988.0
CMR,19878036.0,21032684.0,22299585.0,23711630.0,25076747.0
COD,66391257.0,70997870.0,76035588.0,81430977.0,87087355.0
COG,4437884.0,4713257.0,4944861.0,5186824.0,5441062.0
COM,656024.0,684553.0,714612.0,746232.0,776313.0
CPV,521212.0,533864.0,546076.0,558394.0,571202.0
DJI,919199.0,954297.0,989087.0,1023261.0,1057198.0
DZA,35856344.0,37260563.0,38760168.0,40339329.0,41927007.0
EGY,87252413.0,91240376.0,95592324.0,99784030.0,103740765.0
ERI,3147727.0,3252596.0,3323425.0,3365287.0,3445374.0
ETH,89237791.0,94451280.0,99746766.0,105293228.0,111129438.0
GAB,1711105.0,1836705.0,1966855.0,2086206.0,2192012.0
GHA,25574719.0,26858762.0,28196358.0,29554303.0,30870641.0
GIN,10270728.0,10788692.0,11333365.0,11930985.0,12554864.0
GMB,1937275.0,2061014.0,2189019.0,2317206.0,2444916.0
GNB,1567220.0,1652717.0,1743309.0,1834552.0,1924955.0
GNQ,1094524.0,1193636.0,1295183.0,1398927.0,1502091.0
KEN,41517895.0,43725806.0,45831863.0,47894670.0,49953304.0
LBR,4019956.0,4331740.0,4519398.0,4706097.0,4889391.0
LBY,6491988.0,5869870.0,6097764.0,6282196.0,6477793.0
LSO,2022747.0,2054718.0,2095242.0,2143872.0,2198017.0
MAR,32464865.0,33352169.0,34248603.0,35107264.0,35927511.0
MDG,21731053.0,22966240.0,24215976.0,25501941.0,26846541.0
MLI,15529181.0,16514687.0,17551814.0,18700106.0,19934298.0
MOZ,23073723.0,24487611.0,26038704.0,27696493.0,29423878.0
MRT,3419461.0,3636113.0,3843174.0,4051890.0,4270712.0
MUS,1250400.0,1255882.0,1260934.0,1263473.0,1265303.0
MWI,14718422.0,15581251.0,16477966.0,17405624.0,18367883.0
NAM,2099271.0,2167470.0,2243001.0,2323352.0,2405680.0
NER,16647543.0,17954407.0,19372014.0,20921743.0,22577058.0
NGA,160952853.0,170075932.0,179379016.0,188666931.0,198387623.0
RWA,10309031.0,10840334.0,11368451.0,11930899.0,12531808.0
SDN,33739933.0,35159792.0,37003245.0,39377169.0,41999059.0
SEN,12530121.0,13231833.0,13970308.0,14751356.0,15574909.0
SLE,6436698.0,6788587.0,7140688.0,7493913.0,7861281.0
SOM,12026649.0,12440326.0,13309235.0,14292847.0,15411094.0
SSD,9714419.0,10701604.0,11213284.0,11066105.0,10395329.0
STP,182138.0,189924.0,197497.0,204632.0,211344.0
SWZ,1099920.0,1111444.0,1125865.0,1142524.0,1160428.0
SYC,89770.0,88303.0,91359.0,94677.0,96762.0
TCD,11894727.0,12754906.0,13697126.0,14592585.0,15604210.0
TGO,6571855.0,6926635.0,7288383.0,7661354.0,8046679.0
TUN,10895063.0,11174383.0,11428948.0,11685667.0,11933041.0
TZA,45110527.0,47786137.0,50814552.0,54401802.0,58090443.0
UGA,32341728.0,34273295.0,36336539.0,38748299.0,41515395.0
ZAF,51784921.0,53145033.0,54729551.0,56422274.0,57339635.0
ZMB,13792086.0,14744658.0,15737793.0,16767761.0,17835893.0
ZWE,12839771.0,13265331.0,13855753.0,14452704.0,15052184.0
