,iso3,country,year,month,unrest_index
0,DZA,Algeria,2000,1,0.2557356876245428
1,EGY,Egypt,2000,1,0.02423406602431427
2,LBY,Libya,2000,1,0.11778690465019223
3,SDN,Sudan,2000,1,0.2598196458866805
4,DZA,Algeria,2000,2,0.046717638855510044
5,EGY,Egypt,2000,2,0.0053947684165803755
6,MAR,Morocco,2000,2,0.2502339054331617
7,SDN,Sudan,2000,2,0.3937871954499218
8,TUN,Tunisia,2000,2,0.03961098030893112
9,DZA,Algeria,2000,3,0.22299414887549374
10,EGY,Egypt,2000,3,0.00863898925893855
11,MAR,Morocco,2000,3,0.12557460989655145
12,SDN,Sudan,2000,3,0.40663362146845244
13,DZA,Algeria,2000,4,0.014142082743317241
14,SDN,Sudan,2000,4,0.1989660079392796
15,DZA,Algeria,2000,5,0.2578864763706018
16,EGY,Egypt,2000,5,0.029533244202752523
17,MAR,Morocco,2000,5,0.06309459188526137
18,SDN,Sudan,2000,5,0.20969900124896027
19,DZA,Algeria,2000,6,0.030722455614792643
20,EGY,Egypt,2000,6,0.018921528428181317
21,MAR,Morocco,2000,6,0.1272353147787426
22,SDN,Sudan,2000,6,0.387200466608149
23,DZA,Algeria,2000,7,0.08492620920748997
24,LBY,Libya,2000,7,0.14049422527858618
25,MAR,Morocco,2000,7,0.25339849114852525
26,SDN,Sudan,2000,7,0.3053411746863883
27,DZA,Algeria,2000,8,0.009265502487000948
28,SDN,Sudan,2000,8,0.258945853242497
29,DZA,Algeria,2000,9,0.010728476563895833
30,LBY,Libya,2000,9,0.13142830504996617
31,MAR,Morocco,2000,9,0.06409684693559534
32,SDN,Sudan,2000,9,0.5387462146357793
33,DZA,Algeria,2000,10,0.16740026046039863
34,EGY,Egypt,2000,10,0.07677272410826261
35,MAR,Morocco,2000,10,0.2561437943393805
36,SDN,Sudan,2000,10,0.45847662778065745
37,TUN,Tunisia,2000,10,0.0007802528410106313
38,DZA,Algeria,2000,11,0.007314870384474426
39,EGY,Egypt,2000,11,0.04519156773045108
40,MAR,Morocco,2000,11,0.3839040250775655
41,SDN,Sudan,2000,11,0.18534377915840516
42,DZA,Algeria,2000,12,0.049741118614426136
43,EGY,Egypt,2000,12,0.018819193304319637
44,MAR,Morocco,2000,12,0.19486145427314783
45,SDN,Sudan,2000,12,0.41656373567869537
46,SDN,Sudan,2001,1,0.5994190369287496
47,DZA,Algeria,2001,2,0.07276024477563109
48,EGY,Egypt,2001,2,0.03526724711846188
